epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,348.263,1.43919,2.84162,1.36338,0.28414,0.07806,0.03276,0.01688,1.98448,6.02828,1.9156,0.0674735,0.000663805,0.000663805
2,713.175,1.71927,3.08773,1.58638,0.32405,0.0579,0.02371,0.01196,1.96746,3.7913,1.84626,0.034763,0.00128657,0.00128657
3,993.155,1.7207,3.07216,1.59132,0.29725,0.06353,0.0352,0.01724,1.88885,3.14426,1.79998,0.00200839,0.00186533,0.00186533
4,1217.19,1.66617,2.94838,1.54847,0.26975,0.08859,0.04615,0.02454,1.79097,2.97898,1.68619,0.001802,0.001802,0.001802
5,1398.87,1.60098,2.77025,1.51045,0.30197,0.1107,0.0652,0.03702,1.70326,2.80176,1.60382,0.001736,0.001736,0.001736
6,1604.46,1.56042,2.66671,1.47824,0.29711,0.11207,0.07324,0.04058,1.69823,2.76427,1.6151,0.00167,0.00167,0.00167
7,1873.16,1.52146,2.57711,1.44591,0.31275,0.1293,0.09053,0.05433,1.66522,2.57236,1.5487,0.001604,0.001604,0.001604
8,2238.49,1.47916,2.47761,1.42881,0.38056,0.14768,0.10813,0.06471,1.57832,2.4152,1.51507,0.001538,0.001538,0.001538
9,2601.16,1.46214,2.40389,1.40691,0.28169,0.15726,0.12078,0.07402,1.55207,2.33029,1.477,0.001472,0.001472,0.001472
10,2959.23,1.43577,2.30932,1.39211,0.2973,0.17196,0.12891,0.07923,1.51841,2.28994,1.47423,0.001406,0.001406,0.001406
11,3304.69,1.40193,2.27004,1.37205,0.28169,0.18827,0.13289,0.08262,1.49971,2.29415,1.45063,0.00134,0.00134,0.00134
12,3588.48,1.39352,2.21425,1.35834,0.29919,0.18833,0.14881,0.09356,1.4892,2.20419,1.44235,0.001274,0.001274,0.001274
13,3899.78,1.36294,2.15382,1.34845,0.27192,0.18393,0.14841,0.09046,1.4754,2.19567,1.44254,0.001208,0.001208,0.001208
14,4248.2,1.34178,2.08516,1.33302,0.28938,0.19789,0.16064,0.09845,1.49463,2.12,1.44274,0.001142,0.001142,0.001142
15,4606.63,1.32545,2.02259,1.32725,0.29648,0.21144,0.16837,0.10677,1.44542,2.08872,1.40519,0.001076,0.001076,0.001076
16,4891.47,1.30549,2.00716,1.31026,0.30187,0.20865,0.17107,0.10801,1.44138,2.07374,1.4272,0.00101,0.00101,0.00101
17,5168.93,1.29032,1.95819,1.30451,0.31204,0.21925,0.18505,0.11857,1.40303,2.01525,1.38121,0.000944,0.000944,0.000944
18,5417.9,1.26606,1.90275,1.28926,0.30549,0.22214,0.18438,0.11887,1.40207,1.99703,1.3881,0.000878,0.000878,0.000878
19,5685.04,1.26322,1.84221,1.27841,0.31368,0.2293,0.19753,0.12714,1.41197,1.95408,1.38119,0.000812,0.000812,0.000812
20,5944.59,1.23932,1.79036,1.26541,0.31623,0.23322,0.20841,0.13715,1.37652,1.94508,1.36337,0.000746,0.000746,0.000746
21,6158.24,1.28762,1.79788,1.31904,0.35036,0.23219,0.21091,0.13709,1.38114,1.91808,1.36937,0.00068,0.00068,0.00068
22,6381.73,1.25328,1.68811,1.29171,0.35987,0.24226,0.22123,0.14393,1.3745,1.88125,1.37208,0.000614,0.000614,0.000614
23,6589,1.23786,1.6179,1.27796,0.3254,0.2548,0.22118,0.14413,1.37931,1.86615,1.36887,0.000548,0.000548,0.000548
24,6808.75,1.2161,1.57008,1.28184,0.35712,0.25735,0.22992,0.15385,1.36653,1.85291,1.36709,0.000482,0.000482,0.000482
25,7036.42,1.18988,1.50869,1.25004,0.37132,0.25091,0.23276,0.15354,1.36192,1.82655,1.35943,0.000416,0.000416,0.000416
26,7237.26,1.17921,1.47042,1.2434,0.37626,0.25371,0.24387,0.16297,1.35141,1.81446,1.35425,0.00035,0.00035,0.00035
27,7461.24,1.15305,1.41531,1.21656,0.36998,0.2547,0.24546,0.16316,1.35312,1.7954,1.35626,0.000284,0.000284,0.000284
28,7669.55,1.13458,1.37024,1.20826,0.36491,0.2608,0.24992,0.16711,1.34535,1.77012,1.34618,0.000218,0.000218,0.000218
29,7895.82,1.11025,1.31838,1.18984,0.37806,0.26405,0.25467,0.17046,1.33742,1.75782,1.33681,0.000152,0.000152,0.000152
30,8086.91,1.0988,1.28115,1.18392,0.39403,0.26411,0.25887,0.1728,1.33395,1.7404,1.34027,8.6e-05,8.6e-05,8.6e-05
