epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.23,2.19424,3.96992,1.68068,0.15336,0.05362,0.00231,0.00092,2.54974,inf,2.34229,0.0701288,0.00331903,0.00331903
2,116.273,2.38177,3.76018,1.83182,0.54934,0.01512,0.00274,0.00106,2.67876,5.0955,2.23658,0.0396897,0.0062133,0.0062133
3,151.844,2.32655,3.60794,1.80313,0.44067,0.02607,0.00866,0.00401,2.49118,3.63369,1.84945,0.00881064,0.00866758,0.00866758
4,185.61,2.22731,3.45723,1.7243,0.46101,0.02448,0.0136,0.00621,2.24944,3.34899,1.78956,0.00802,0.00802,0.00802
5,218.847,2.14289,3.3376,1.67918,0.53749,0.028,0.02233,0.01129,2.20386,3.22733,1.65577,0.00736,0.00736,0.00736
6,261.265,2.09205,3.21981,1.63787,0.36284,0.04824,0.02412,0.01308,2.08233,3.15191,1.67055,0.0067,0.0067,0.0067
7,294.683,2.04383,3.15424,1.61629,0.48823,0.04043,0.02746,0.01451,2.04937,2.96958,1.62636,0.00604,0.00604,0.00604
8,328.116,2.00095,3.07586,1.58864,0.41048,0.05315,0.03188,0.01646,2.03005,2.92993,1.58949,0.00538,0.00538,0.00538
9,362.155,1.96592,3.00224,1.56579,0.49635,0.04497,0.03564,0.01894,2.00917,2.88227,1.55656,0.00472,0.00472,0.00472
10,425.928,1.93268,2.91725,1.52907,0.33677,0.06488,0.03564,0.01958,1.93676,2.82281,1.55206,0.00406,0.00406,0.00406
11,491.723,1.88457,2.8727,1.5233,0.3364,0.06449,0.04282,0.02396,1.91352,2.77487,1.5279,0.0034,0.0034,0.0034
12,540.306,1.85648,2.79326,1.50104,0.31219,0.07655,0.04808,0.02667,1.88864,2.73202,1.49702,0.00274,0.00274,0.00274
13,574.681,1.83469,2.76354,1.48535,0.33106,0.08206,0.05282,0.02929,1.85208,2.66883,1.49362,0.00208,0.00208,0.00208
14,609.068,1.78913,2.68104,1.46436,0.30464,0.09065,0.05764,0.03219,1.83963,2.65509,1.47918,0.00142,0.00142,0.00142
15,643.235,1.76446,2.63319,1.45311,0.30769,0.09716,0.06098,0.03555,1.80454,2.58013,1.46779,0.00076,0.00076,0.00076
